City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
46,Pevek,RU,2021-04-02 21:39:23,69.7008,170.3133,-11.25,90,8,1.72
47,Bilma,NE,2021-04-02 21:39:24,18.6853,12.9164,71.55,12,4,4.61
48,Pemba,MZ,2021-04-02 21:39:24,-12.974,40.5178,78.8,89,40,9.22
49,Ust-Omchug,RU,2021-04-02 21:39:24,61.15,149.6333,-2.65,96,85,2.55
50,Torbay,CA,2021-04-02 21:35:29,47.6666,-52.7314,42.8,93,75,14.97
51,Sovetskiy,RU,2021-04-02 21:39:25,61.3614,63.5842,24.64,96,18,4.59
52,Port Alfred,ZA,2021-04-02 21:39:25,-33.5906,26.891,61.5,82,26,11.27
53,Rikitea,PF,2021-04-02 21:39:25,-23.1203,-134.9692,77.38,76,99,10.42
54,Pangody,RU,2021-04-02 21:39:26,65.85,74.4859,27.82,95,100,8.48
55,Faya,SA,2021-04-02 21:39:26,18.3851,42.4509,66.2,67,0,0.94
56,Tasiilaq,GL,2021-04-02 21:39:26,65.6145,-37.6368,30.2,86,75,9.22
57,Chaozhou,CN,2021-04-02 21:39:27,23.6651,116.6379,77.0,83,40,2.73
58,Lompoc,US,2021-04-02 21:38:15,34.6391,-120.4579,66.0,63,25,9.22
59,Poum,NC,2021-04-02 21:39:27,-20.2333,164.0167,78.53,86,100,9.42
60,Ensenada,MX,2021-04-02 21:34:48,31.8667,-116.6167,68.0,74,0,3.0
61,Abay,KZ,2021-04-02 21:39:28,49.6311,72.8539,17.6,79,0,8.95
62,Lannion,FR,2021-04-02 21:39:28,48.75,-3.4167,44.6,76,0,11.5
63,Diu,IN,2021-04-02 21:39:28,20.7141,70.9822,75.88,76,89,6.55
64,Leh,IN,2021-04-02 21:39:29,34.1667,77.5833,24.76,45,90,7.43
65,Plastun,RU,2021-04-02 21:39:29,44.7561,136.2939,42.85,55,100,4.12
66,Hoquiam,US,2021-04-02 21:39:29,46.9809,-123.8893,57.0,62,20,11.5
67,Lebu,CL,2021-04-02 21:39:30,-37.6167,-73.65,56.26,86,5,15.46
68,Kaeo,NZ,2021-04-02 21:39:30,-35.1,173.7833,71.01,74,57,5.01
69,Tuatapere,NZ,2021-04-02 21:39:30,-46.1333,167.6833,46.99,84,100,5.01
70,Agirish,RU,2021-04-02 21:39:31,61.9247,63.0231,25.3,94,14,5.32
71,Kadyy,RU,2021-04-02 21:39:31,57.787,43.1903,30.27,96,96,4.29
72,Avarua,CK,2021-04-02 21:39:31,-21.2078,-159.775,84.2,70,28,16.11
73,Kruisfontein,ZA,2021-04-02 21:39:31,-34.0033,24.7314,55.99,94,0,3.0
